calibrate_2_20200128120639786.pbf,songx5_2_20190930163301.pbf,1,,,,,1,guided
calibrate_2_20200128125043428.pbf,khana172_2_20191106124049.pbf,0,,,,,0,unguided
calibrate_2_20200128125519789.pbf,dezeeuwt_2_20191004125556.pbf,0,,,,,,
calibrate_2_20200202160513970.pbf,weiy49_2_20200106125728274.pbf,1,,,,,,
calibrate_2_20200202160545876.pbf,weiy49_2_20200108102153837.pbf,1,,,,,,
calibrate_2_20200202160728771.pbf,weiy49_2_20200106125728274.pbf,1,,,,,,
calibrate_2_20200202160807653.pbf,weiy49_2_20200106125728274.pbf,1,,,,,,
calibrate_2_20200202161056693.pbf,weiy49_2_20200108102337212.pbf,1,,,,,,
calibrate_2_20200202161126722.pbf,weiy49_2_20200108102337212.pbf,1,,,,,,
calibrate_2_20200202161207420.pbf,weiy49_2_20200106130051168.pbf,1,,,,,,
calibrate_2_20200202161300905.pbf,weiy49_2_20200108102447371.pbf,1,,,,,,
calibrate_2_20200202161322079.pbf,weiy49_2_20200108102452416.pbf,1,,,,,,
calibrate_2_20200202161458702.pbf,weiy49_2_20200106130220747.pbf,1,,,,,,
calibrate_2_20200202161535428.pbf,weiy49_2_20200108102535743.pbf,1,,,,,,
calibrate_2_20200202161615178.pbf,weiy49_2_20200106130301919.pbf,1,,,,,,
calibrate_2_20200202164537641.pbf,donga9_2_20191007121208.pbf,0,,,,,,
calibrate_2_20200202164607717.pbf,yaoy41_2_20191007122712.pbf,1,,,,,,
calibrate_2_20200202164657327.pbf,yaoy41_2_20191007122912.pbf,1,,,,,,
calibrate_2_20200202164723226.pbf,lanea4_2_20200129114853.pbf,0,,,,,,
calibrate_2_20200202164759451.pbf,weiy49_2_20200108103318922.pbf,1,,,,,,
calibrate_2_20200202164849976.pbf,liu433_2_20191107121720.pbf,1,,,,,,
calibrate_2_20200202165810590.pbf,smitj19_2_20191202170811.pbf,0,,,,,,
calibrate_2_20200202165824437.pbf,smitj19_2_20191202170458.pbf,0,,,,,,
calibrate_2_20200202165843163.pbf,filek_2_20191030162431.pbf,0,,,,,,
calibrate_2_20200202165916805.pbf,shil9_2_20191001185054.pbf,1,,,,,,
calibrate_2_20200202165944913.pbf,maob4_2_20191202085735.pbf,0,,,,,,
calibrate_2_20200202170023312.pbf,weiy49_2_20200106145018837.pbf,1,,,,,,
calibrate_2_20200202170435370.pbf,weiy49_2_20200106144408408.pbf,1,,,,,,
calibrate_2_20200202170524248.pbf,weiy49_2_20200106144408408.pbf,1,,,,,,
calibrate_2_20200202170549955.pbf,weiy49_2_20200108110625993.pbf,1,,,,,,
calibrate_2_20200202170612003.pbf,weiy49_2_20200108110625993.pbf,1,,,,,,
calibrate_2_20200202170635855.pbf,jinz27_2_20191005174941.pbf,1,,,,,,
calibrate_2_20200202170652275.pbf,jinz27_2_20191005174941.pbf,1,,,,,,
calibrate_2_20200202170743223.pbf,baigm21_2_20191023204523.pbf,0,,,,,,
calibrate_2_20200202170801281.pbf,baigm21_2_20191023204523.pbf,0,,,,,,
calibrate_2_20200202170929013.pbf,latifm_2_20200202195252.pbf,0,,,,,,
calibrate_2_20200202171422101.pbf,weiy49_2_20200108111319744.pbf,1,,,,,,
calibrate_2_20200202171444094.pbf,weiy49_2_20200108112152498.pbf,1,,,,,,
calibrate_2_20200202171517778.pbf,weiy49_2_20200106145220044.pbf,1,,,,,,
calibrate_2_20200202171536881.pbf,weiy49_2_20200106145159269.pbf,1,,,,,,
calibrate_2_20200202171602097.pbf,weiy49_2_20200108111353839.pbf,1,,,,,,
calibrate_2_20200202171737162.pbf,khana172_2_20191106123520.pbf,1,,,,,,
calibrate_2_20200202171937327.pbf,weiy49_2_20200108113822479.pbf,1,,,,,,
calibrate_2_20200202171959200.pbf,weiy49_2_20200108113822479.pbf,1,,,,,,
calibrate_2_20200202172037958.pbf,weiy49_2_20200106152956462.pbf,1,,,,,,
calibrate_2_20200202172121727.pbf,weiy49_2_20200106152935913.pbf,1,,,,,,
calibrate_2_20200202172151433.pbf,weiy49_2_20200106152838477.pbf,1,,,,,,
calibrate_2_20200202172218399.pbf,weiy49_2_20200106152838477.pbf,1,,,,,,
calibrate_2_20200202172423049.pbf,guoy105_2_20191021121728.pbf,0,,,,,,
calibrate_2_20200202172445309.pbf,guoy105_2_20191021121907.pbf,0,,,,,,
calibrate_2_20200202172458701.pbf,guoy105_2_20191021121728.pbf,0,,,,,,
calibrate_2_20200202172516352.pbf,guoy105_2_20191021121907.pbf,0,,,,,,
calibrate_2_20200202172617934.pbf,halle12_2_20200122105500.pbf,0,,,,,,
calibrate_2_20200202172641064.pbf,weiy49_2_20200106151858515.pbf,1,,,,,,
calibrate_2_20200202172708954.pbf,dezeeuwt_2_20191004132613.pbf,0,,,,,,
